Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Africa Eastern and Southern;AFE;Population growth (annual %);SP.POP.GROW;;2.539822045;2.575181508;2.606838848;2.633212739;2.656488448;2.677083885;2.699647065;2.728246267;2.764599588;2.805011552;2.8445072;2.878912731;2.906277693;2.926069128;2.939789098;2.950883794;2.960983318;2.966164408;2.972448928;2.974336132;2.970647776;2.965383802;2.965635553;2.975572595;2.986493217;2.997632811;3.001095388;2.987171897;2.956404812;2.913058531;2.871078331;2.832013496;2.791294245;2.751373997;2.710420057;2.673851161;2.642958904;2.621264387;2.612969847;2.612275506;2.614605363;2.619585878;2.629364121;2.64581128;2.666015223;2.685749124;2.703187833;2.7200228;2.734577761;2.74740956;2.756619249;2.763425798;2.761495568;2.750400213;2.73259764;2.712217978;2.690901728;2.665619539;2.636666337;2.605427487
Africa Eastern and Southern;AFE;Population, total;SP.POP.TOTL;130836765;134159786;137614644;141202036;144920186;148769974;152752671;156876454;161156430;165611760;170257189;175100167;180141148;185376550;190800796;196409937;202205766;208193045;214368393;220740384;227305945;234058404;240999134;248146290;255530063;263161451;271050065;279184536;287524258;296024639;304648010;313394693;322270073;331265579;340379934;349605660;358953595;368440591;378098393;387977990;398113044;408522129;419223717;430246635;441630149;453404076;465581372;478166911;491173160;504604672;518468229;532760424;547482863;562601578;578075373;593871847;609978946;626392880;643090131;660046272;677243299
Africa Eastern and Southern;AFE;Renewable electricity output (% of total electricity output);EG.ELC.RNEW.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.36525822;15.352872;14.10556432;13.4830698;13.23234589;13.29388121;12.73839324;12.51660289;14.87559235;15.43567173;15.98373752;17.5841681;18.03563739;16.93033505;16.94477679;17.69127316;18.47292394;18.17346896;18.28864249;19.75533847;21.16299933;21.32377935;21.79582504;22.73260394;24.96658943;25.67587875;;;;;
Africa Eastern and Southern;AFE;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.62596452;62.87631857;64.6365408;65.29167597;65.37976393;64.98250979;64.21866816;63.385625;64.10636535;65.16892741;65.72708702;66.58523372;65.94464407;65.49096285;64.70560924;64.23854914;64.14291115;63.56673813;63.69468648;63.23383101;64.69609834;64.54736742;63.15755071;62.68883507;63.25431556;63.56519968;;;;;
Africa Eastern and Southern;AFE;Total greenhouse gas emissions (kt of CO2 equivalent);EN.ATM.GHGT.KT.CE;;;;;;;;;;;2512439.361;1654419.449;1738184.787;1853504.142;1678932.253;1908922.17;1770472.899;1969867.575;2018168.247;2508419.488;2213255.337;2001074.47;2197200.83;2191273.179;1543268.531;1559561.233;1479619.566;1928433.869;1463300.209;1614576.372;838050;842590;848740;855350;870920;895540;905810;926000;960820;945540;948360;991070;1040470;1083510;1126950;1154760;1159200;1227540;1288080;1276100;1335490;1342560;1381860;1406900;1436410;1436770;1457530;1471620;1478910;;
Africa Western and Central;AFW;Agricultural land (% of land area);AG.LND.AGRI.ZS;;33.44175478;33.55798545;33.81409439;33.94222679;34.20830082;33.93735423;34.15521335;34.25526;34.87351353;34.45937249;34.29655848;33.82913764;34.3923339;33.88026769;33.83555647;33.90199629;33.42873694;33.30868095;33.2865712;33.63037792;33.2546226;33.45427371;33.58295249;34.05742788;34.38011979;35.03368422;35.06021592;35.24748557;35.32033722;35.23768873;35.45703765;35.66502656;35.898754;36.10925846;36.64751851;36.5230806;36.73159462;36.76812348;36.98067972;37.09307876;37.42009954;37.54504156;37.8422219;37.80082646;38.48051191;38.49110856;38.66962661;38.96142068;39.09409415;39.26577697;39.34968328;39.51496057;39.74019156;39.76514684;39.79205331;39.88912422;39.93069918;39.95354519;;
Africa Western and Central;AFW;Agricultural land (sq. km);AG.LND.AGRI.K2;;3025335.1;3035850;3059019.1;3070610.7;3094681.3;3070169.9;3089878.7;3098929.5;3154860.3;3117394.7;3102665.6;3060380;3111330;3064870;3060690;3066700;3023890;3013030;3011030;3042130;3008140;3026200;3037840;3080760;3109950;3169070;3171470;3188410;3195000;3187523.8;3207365.62;3226179.84;3247322.31;3266364.08;3315053.9;3303797.52;3322659.24;3325963.56;3345190.93;3355358.3;3384939.88;3396241.86;3423124.14;3419379.6;3480862.45;3481821;3497969.35;3524364.4;3536365.75;3551895.8;3559485.78;3574436.4;3594810.3;3597067.7;3599501.6;3608282.421;3612043.2;3614109.8;;
Africa Western and Central;AFW;Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;;;;;;;;;;;57.74653297;56.25105376;53.57656468;51.40613561;46.0516559;50.2977056;49.538674;52.78236082;51.76272114;48.66028918;52.8174704;54.34649959;56.1785161;54.39993193;52.79879352;51.58392764;51.46853767;52.30525198;52.10266194;51.77433213;42.15402963;42.68355963;41.84480234;41.21613437;40.82006152;42.54896508;44.25248374;45.88334133;47.98549396;49.27828401;51.71355703;49.63665087;49.03614918;49.64631153;48.84170563;49.46757018;49.69327188;49.85994398;50.16332397;;;;;;;;;;;;
Africa Western and Central;AFW;Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;;;;;;;;;;0;82990.16163;81738.03457;79926.13409;83160.13101;67631.58237;73333.88365;76358.67332;87868.03;78933.90188;86072.42079;102682.1927;90649.39068;101504.6593;94802.65617;90937.48079;84889.83884;86488.04831;90254.462;87416.59662;96356.8103;91900;98710;100030;102080;104830;107100;110910;114690;120410;122220;129770;125680;128460;137560;138940;148190;149860;151300;153570;152750;162170;170390;175140;181460;184600;191240;203680;204690;208280;;
Africa Western and Central;AFW;CO2 emissions (kt);EN.ATM.CO2E.KT;8760.463;9376.519;9710.216;11540.049;13985.938;19827.469;21246.598;21239.264;16527.169;23743.825;36398.642;48301.724;58059.611;69676.667;84392.338;69995.696;76900.657;74154.074;75045.155;98319.604;98913.658;96889.474;98755.977;91337.636;101154.195;104344.485;99977.088;89694.82;103820.104;82562.505;90210;99880;111590;115080;112220;113980;121890;120450;116930;118000;119510;130120;133840;137380;141040;155650;153210;153350;157600;145550;165750;179070;181740;191990;198440;193060;195120;201900;224380;;
